Country Name,Country Code,Year,Value
Vanuatu,VUT,2013,256635
Vanuatu,VUT,2014,263888
Vanuatu,VUT,2015,271130
Vanuatu,VUT,2016,278330
Vanuatu,VUT,2017,285510
Vanuatu,VUT,2018,292680
Vietnam,VNM,1960,32670039
Vietnam,VNM,1961,33666110
Vietnam,VNM,1962,34683407
Vietnam,VNM,1963,35721217
Vietnam,VNM,1964,36779999
Vietnam,VNM,1965,37858951
Vietnam,VNM,1966,38958048
Vietnam,VNM,1967,40072948
Vietnam,VNM,1968,41193601
Vietnam,VNM,1969,42307146
Vietnam,VNM,1970,43404793
Vietnam,VNM,1971,44484035
Vietnam,VNM,1972,45548479
Vietnam,VNM,1973,46603525
Vietnam,VNM,1974,47657561
Vietnam,VNM,1975,48718189
Vietnam,VNM,1976,49785282
Vietnam,VNM,1977,50861162
Vietnam,VNM,1978,51959015
Vietnam,VNM,1979,53095408
Vietnam,VNM,1980,54281846
Vietnam,VNM,1981,55522803
Vietnam,VNM,1982,56814306
Vietnam,VNM,1983,58148384
Vietnam,VNM,1984,59512619
Vietnam,VNM,1985,60896721
Vietnam,VNM,1986,62293856
Vietnam,VNM,1987,63701972
Vietnam,VNM,1988,65120439
Vietnam,VNM,1989,66550234
Vietnam,VNM,1990,67988862
Vietnam,VNM,1991,69436954
Vietnam,VNM,1992,70883481
Vietnam,VNM,1993,72300308
Vietnam,VNM,1994,73651218
Vietnam,VNM,1995,74910461
Vietnam,VNM,1996,76068743
Vietnam,VNM,1997,77133214
Vietnam,VNM,1998,78115710
Vietnam,VNM,1999,79035871
Vietnam,VNM,2000,79910412
Vietnam,VNM,2001,80742499
Vietnam,VNM,2002,81534407
Vietnam,VNM,2003,82301656
Vietnam,VNM,2004,83062821
Vietnam,VNM,2005,83832661
Vietnam,VNM,2006,84617540
Vietnam,VNM,2007,85419591
Vietnam,VNM,2008,86243413
Vietnam,VNM,2009,87092252
Vietnam,VNM,2010,87967651
Vietnam,VNM,2011,88871561
Vietnam,VNM,2012,89802487
Vietnam,VNM,2013,90753472
Vietnam,VNM,2014,91714595
Vietnam,VNM,2015,92677076
Vietnam,VNM,2016,93638724
Vietnam,VNM,2017,94596642
Vietnam,VNM,2018,95540395
